algo,env,EpLenMean,EpRewMean,EpRewMeanThisIter,EpSuccessSoFar,EpSuccessThisIter,EpThisIter,EpisodesSoFar,SucRateSoFar,SucRateThisIter,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
ppo,QuadTakeOffHoverEnv-v0,,,,,,,,,,,,,,,,,
,,27.594594594594593,-314.98618335874943,-314.98618335874943,0,0,37,37,0.0,0.0,76.50438356399536,1021,-0.0008130073547363281,2.9157536,0.011968974,0.0,-0.033338193,12514.656
,,27.594594594594593,-317.5080299569748,-320.0298765552001,0,0,37,74,0.0,0.0,150.40047192573547,2042,-5.900859832763672e-05,2.9157536,0.014767178,0.0,-0.030911468,12479.661
,,27.88,-317.7238895101713,-313.0085594376716,0,0,37,111,0.0,0.0,224.55989003181458,3063,8.940696716308594e-06,2.9157536,0.012485227,0.0,-0.024765821,12064.685
,,27.25,-312.26209632837015,-302.2289228001738,0,0,39,150,0.0,0.0,298.73727321624756,4090,0.00020933151245117188,2.9157536,0.014244851,0.0,-0.03374134,10227.926
,,26.95,-316.60611025476715,-330.1471379669881,0,0,37,187,0.0,0.0,373.58448815345764,5119,-4.6372413635253906e-05,2.9157536,0.020563513,0.0,-0.030105546,13967.938
,,27.09,-316.9774672960728,-315.4989769754428,0,0,37,224,0.0,0.0,447.6937711238861,6114,0.0001448988914489746,2.9157536,0.015404989,0.0,-0.03331995,11402.207
